Video Name,Category,Actual Count,Females,Males,Results,Found Females,Found Males
Donald Trump shuts down CNN reporter - BBC News,Donald Trump,1,0,1,1,0,1
Donald Trump speaks after US drops 'Mother Of All Bombs' in Afghanistan,Donald Trump,9,0,9,9,0,9
Donald Trump walks away during CBS interview,Donald Trump,3,0,3,3,1,2
Donald Trump- Why Was There The Civil War-,Donald Trump,0,0,0,0,0,0
Donald Trump's First 100 Days In Office - Season 28 - THE SIMPSONS,Donald Trump,0,0,0,6,6,0
Jimmy Kimmel has Message for Donald Trump on Healthcare - #DollemoreDaily,Donald Trump,2,0,2,8,3,5
Kids Describe Donald Trump to an Illustrator,Donald Trump,8,3,5,15,7,8
Mac Miller - Donald Trump,Donald Trump,14,7,7,33,15,18
"President Donald Trump Welcomes Palestinian President, Offers To Mediate Peace Process - NBC News",Donald Trump,3,0,3,2,0,2
Pros and Cons- Donald Trump Returning to New York City,Donald Trump,3,0,3,3,0,3
The Civil War – A Film By Donald Trump - CONAN on TBS,Donald Trump,13,0,13,7,1,6
'Trump Is Very Stupid' Mark Cuban ATTACKS Donald Trump,Donald Trump,3,1,2,11,3,8
3 Steps to Introduce Yourself in an Interview - Interview Tips - TalentSprint,introduction,2,2,0,3,2,1
50 second introduction to Shattered Worlds - RuneScape,introduction,0,0,0,1,1,0
An Introduction,introduction,1,1,0,1,1,0
Big Mom's Introduction! - One Piece 786 Eng Sub HD,introduction,0,0,0,1,1,0
Carving a Face - Introduction,introduction,0,0,0,1,0,1
Essay writing - writing an introduction,introduction,0,0,0,0,0,0
How to Make a Great Introduction Speech - Public Speaking,introduction,1,0,1,2,0,2
How to write the introduction to your dissertation,introduction,1,1,0,1,1,0
Introducing Yourself - How to Introduce Yourself In English,introduction,2,1,1,3,0,3
Introduction a l’hockey - #IIHFWorlds 2017,introduction,0,0,0,0,0,0
Introduction to Centrifugal Casting,introduction,1,0,1,1,0,1
Introduction to Computer Basics,introduction,0,0,0,0,0,0
Introduction to Physics,introduction,8,4,4,9,3,6
MY HISTORY WITH MUSIC,introduction,1,1,0,3,3,0
Nepal.Food - The Introduction (Episode 1),introduction,26,12,14,13,2,11
Persuasive Writing for Kids- Writing an Introduction,introduction,0,0,0,0,0,0
Samsung Galaxy note 8 introduction,introduction,0,0,0,0,0,0
Self-Introduction - Basic English Conversation Practice - ESL - EFL,introduction,0,0,0,1,0,1
What Not to Do in an Introduction by Shmoop,introduction,18,2,16,20,13,7
YuGiOh! VRAINS - Characters Introduction - With the Wind Opening,introduction,0,0,0,2,0,2
Aladdin - Market Place HD - vicky,marketplace,0,0,0,2,2,0
Aladdin - Market Place HD,marketplace,0,0,0,3,3,0
Bidding System & Marketplace • Black Desert Online,marketplace,1,1,0,2,2,0
Etta James - Market Place,marketplace,3,3,0,2,2,0
"Facebook Marketplace is neither Craigslist nor eBay, but it's going to take big bite of both",marketplace,11,7,4,4,3,1
Facebook Marketplace Launch Video,marketplace,11,7,4,5,2,3
Fences - Marketplace,marketplace,0,0,0,1,0,1
How to protect your privacy on your phone (CBC Marketplace),marketplace,1,0,1,1,0,1
Introducing AWS Marketplace,marketplace,0,0,0,0,0,0
Introducing AWS Marketplace_2,marketplace,0,0,0,0,0,0
Is Subway's wheat bread healthy- (CBC Marketplace),marketplace,12,10,2,16,8,8
Joseph King of Dreams The Marketplace,marketplace,0,0,0,2,1,1
Learn to sell and buy inventory on Facebook Marketplace in 3 minutes,marketplace,2,0,2,2,0,2
Natural vs. synthetic diamonds (CBC Marketplace),marketplace,1,0,1,2,2,0
Navigating the 500px Marketplace,marketplace,25,12,13,13,6,7
Outlets vs. retail- Can you spot the differences- (CBC Marketplace),marketplace,0,0,0,0,0,0
OY - 'Market Place' (official music video),marketplace,14,5,9,8,3,5
The Secret Market Place - LEGO Elves - 41176,marketplace,0,0,0,1,1,0
What Is A Private Market Place (PMP) And How Does It Work-,marketplace,2,1,1,1,0,1
What is Market & Marketplace-- Online Marketing Mastermind (Series 1),marketplace,0,0,0,1,1,0
Canelo & Chavez Jr Got Beef But Oscar De La Hoya and Chavez Sr Get Along,oscar,16,2,14,13,4,9
Eddie Redmayne winning Best Actor,oscar,53,33,20,46,2,44
"EPIC Oscar Mistake- Warren Beatty_Faye Dunaway Name La La Land As Best Picture, Not Moonlight [HD]",oscar,54,20,34,37,2,35
Jean Dujardin Wins Best Actor- 2012 Oscars,oscar,19,9,10,19,3,16
Jennifer Lawrence Wins Best Actress- 2013 Oscars,oscar,41,17,24,45,7,38
Jimmy Kimmel’s Tribute to Matt Damon at the Oscars,oscar,20,6,14,20,1,19
Justin Timberlake Oscars Opening Performance - Can't Stop That Feeling,oscar,82,35,47,33,6,27
Leonardo DiCaprio Accused of Causing Best Picture Mix-Up at 2017 Oscars with the WRONG Card,oscar,31,13,18,49,9,40
'Life Is Beautiful' Wins Foreign Language Film- 1999 Oscars,oscar,22,13,9,24,4,20
"OSCAR - Kaptaan - Gippy Grewal feat. Badshah - Jaani, B Praak - Latest Punjabi Song 2016",oscar,9,6,3,28,2,26
Oscar - Neon (Official Video),oscar,2,1,1,3,1,2
Oscar - Obstacole feat. Keed (Official Video),oscar,9,3,6,17,5,12
Oscar - Stele ca luna feat. NELI (Audio),oscar,2,1,1,0,0,0
Oscar & The wolf - Joaquim,oscar,0,0,0,0,0,0
Oscar And The Wolf - Strange Entity,oscar,7,6,1,9,0,9
OSCAR Awards drama,oscar,20,6,14,24,2,22
OSCAR DE LA HOYA REVEALS SEPTEMBER DATE ALREADY ON HOLD FOR CANELO'S NEXT FIGHT,oscar,11,4,7,17,13,4
Oscar's Oasis - Attack of the Great Green Chicken,oscar,0,0,0,2,0,2
PugLife Prezinta OSCAR (Official Video),oscar,1,0,1,5,0,5
?tefan C?praru a.k.a Oscar - medley din melodiile proprii,oscar,5,1,4,5,4,1
A private lunch with a sushi master,Sushi,3,0,3,2,0,2
Americans Try Sushi For The First Time,Sushi,4,2,2,5,2,3
Banana Nutella Sushi,Sushi,0,0,0,0,0,0
"BILL STAX (????) - Sushi (Feat. C Jamm, ????) [Buffet]",Sushi,0,0,0,0,0,0
Como fazer Sushi (português),Sushi,1,0,1,2,1,1
How America’s First 3 Star Michelin Sushi Chef Serves His Fish,Sushi,4,1,3,8,0,8
HOW TO COOK SUSHI RICE IN A POT AT HOME,Sushi,0,0,0,0,0,0
How To Correctly Eat Sushi,Sushi,1,0,1,1,0,2
How To Throw A Sushi Party,Sushi,0,0,0,0,0,0
JAPAN'S BEST $1 SUSHI TRAIN,Sushi,9,4,5,2,0,2
Learning to make Sushi - Gordon Ramsay,Sushi,3,0,3,6,1,5
People Learn Disturbing Sushi Facts While Eating Sushi,Sushi,8,2,6,10,8,2
Preparing Sushi Is More Involved Than People Think,Sushi,1,1,0,3,0,3
P?íprava Maki sushi - Sushi Time Praha,Sushi,1,0,1,2,6,7
Reaksi Driver GOJEK - Makan Sushi,Sushi,4,1,3,6,2,4
"Secrets to Perfect Sushi Rice, With Taichi Kitamura",Sushi,2,0,2,2,0,2
Sero - Sushi,Sushi,4,2,2,5,0,5
Sushi Burrito Covered in Cheeto Dust,Sushi,2,1,1,2,2,0
Sushi Chef Reviews Cheap Sushi,Sushi,3,1,2,2,1,1
Sushi Lovers Guess Cheap Vs. Expensive Sushi,Sushi,4,2,2,6,4,2
"A day in the life of a student at University of Tartu, Estonia!",Tartu,9,3,6,7,2,5
Genka kutsub Tartu ülikooli bioloogiat õppima,Tartu,2,0,2,2,1,1
Head uut aastat! 2017 ilutulestik Tartus,Tartu,0,0,0,0,0,0
Linnulennul üle Tartu kesklinna,Tartu,0,0,0,1,0,1
Nostalgiline Tartu _ Soviet Tartu,Tartu,0,0,0,0,0,0
Paha Polly - Ma olen Tartu,Tartu,0,0,0,0,0,0
Paks Matu & Roki - Tere Tartu,Tartu,0,0,0,0,0,0
Paks Matu- TARTU,Tartu,0,0,0,0,0,0
September 2016 tartu liikluses,Tartu,0,0,0,0,0,0
Tartu - a city full of good thoughts,Tartu,29,16,13,15,2,13
TARTU & AHHAA CENTER __ Estonia,Tartu,6,3,3,9,0,9
Tartu 2016 sügis,Tartu,0,0,0,0,0,0
Tartu Christmas Centrum,Tartu,0,0,0,0,0,0
Tartu liiklus…,Tartu,0,0,0,0,0,0
Tartu marss,Tartu,19,6,13,20,12,8
Tartu Neljapäevak 4K,Tartu,9,0,9,2,0,2
Tartu Rolleriklubi kokkutulek 24.07.2015,Tartu,11,0,11,2,0,2
Tartu Rolleriklubi Orienteerumine 29.08,Tartu,13,0,13,5,1,4
University of Tartu - Study with us!,Tartu,18,10,8,20,3,17
We are happy from Tartu,Tartu,21,15,6,22,13,9
